virus;virus_clean;matched_virus;taxonomic_level;family_clean;ncbi_id;family;subfamily;genus;ncbi_species
LASV;Mammarenavirus lassaense;Mammarenavirus lassaense;species;Arenaviridae;3052310;Arenaviridae;NA;Mammarenavirus;Mammarenavirus lassaense
LASV/Gbagroube virus/Menekre virus/Mopeia virus/Mobala virus/Ippy virus/Merino walk virus/LCMV/Kodoko virus/Lujo virus/Mafiga mammarenavirus;Mammarenavirus;Mammarenavirus lassaense;genus;Arenaviridae;3052310;Arenaviridae;NA;Mammarenavirus;Mammarenavirus lassaense
LASV/Gbagroube virus/Menekre virus/Mopeia virus/Mobala virus/Ippy virus/Merino walk virus/LCMV/Kodoko virus/Lujo virus/Mafiga mammarenavirus;Mammarenavirus;Gbagroube virus;genus;Arenaviridae;980879;Arenaviridae;NA;Arenavirus;Gbagroube virus
LASV/Gbagroube virus/Menekre virus/Mopeia virus/Mobala virus/Ippy virus/Merino walk virus/LCMV/Kodoko virus/Lujo virus/Mafiga mammarenavirus;Mammarenavirus;Menekre virus;genus;Arenaviridae;980880;Arenaviridae;NA;Arenavirus;Menekre virus
LASV/Gbagroube virus/Menekre virus/Mopeia virus/Mobala virus/Ippy virus/Merino walk virus/LCMV/Kodoko virus/Lujo virus/Mafiga mammarenavirus;Mammarenavirus;Mammarenavirus mopeiaense;genus;Arenaviridae;3052320;Arenaviridae;NA;Mammarenavirus;Mammarenavirus mopeiaense
LASV/Gbagroube virus/Menekre virus/Mopeia virus/Mobala virus/Ippy virus/Merino walk virus/LCMV/Kodoko virus/Lujo virus/Mafiga mammarenavirus;Mammarenavirus;Mammarenavirus praomyidis;genus;Arenaviridae;3052325;Arenaviridae;NA;Mammarenavirus;Mammarenavirus praomyidis
LASV/Gbagroube virus/Menekre virus/Mopeia virus/Mobala virus/Ippy virus/Merino walk virus/LCMV/Kodoko virus/Lujo virus/Mafiga mammarenavirus;Mammarenavirus;Mammarenavirus ippyense;genus;Arenaviridae;3052308;Arenaviridae;NA;Mammarenavirus;Mammarenavirus ippyense
LASV/Gbagroube virus/Menekre virus/Mopeia virus/Mobala virus/Ippy virus/Merino walk virus/LCMV/Kodoko virus/Lujo virus/Mafiga mammarenavirus;Mammarenavirus;Mammarenavirus merinoense;genus;Arenaviridae;3052319;Arenaviridae;NA;Mammarenavirus;Mammarenavirus merinoense
LASV/Gbagroube virus/Menekre virus/Mopeia virus/Mobala virus/Ippy virus/Merino walk virus/LCMV/Kodoko virus/Lujo virus/Mafiga mammarenavirus;Mammarenavirus;Mammarenavirus choriomeningitidis;genus;Arenaviridae;3052303;Arenaviridae;NA;Mammarenavirus;Mammarenavirus choriomeningitidis
LASV/Gbagroube virus/Menekre virus/Mopeia virus/Mobala virus/Ippy virus/Merino walk virus/LCMV/Kodoko virus/Lujo virus/Mafiga mammarenavirus;Mammarenavirus;Kodoko virus;genus;Arenaviridae;434491;Arenaviridae;NA;NA;Kodoko virus
LASV/Gbagroube virus/Menekre virus/Mopeia virus/Mobala virus/Ippy virus/Merino walk virus/LCMV/Kodoko virus/Lujo virus/Mafiga mammarenavirus;Mammarenavirus;Mammarenavirus lujoense;genus;Arenaviridae;3052314;Arenaviridae;NA;Mammarenavirus;Mammarenavirus lujoense
