pathogen_record_id,associated_rodent_record_id,study_id,associatedTaxa,family,scientificName,assay,tested,positive,negative,number_inconclusive,note
29768,21575,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29769,21576,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29770,21577,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29771,21578,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29772,21579,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29773,21580,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29774,21581,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29775,21582,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29776,21583,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29777,21584,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29778,21585,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29779,21586,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29780,21587,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29781,21588,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29782,21589,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29783,21590,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29784,21591,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29785,21592,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29786,21593,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29787,21594,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29788,21595,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29789,21596,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29790,21597,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29791,21598,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29792,21599,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29793,21600,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,neg_uncertain
29794,21601,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29795,21602,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29796,21603,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29797,21604,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29798,21605,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,neg_uncertain
29799,21606,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
